2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.06326  TP=1.06167  SL=1.06422 | Lot=1.24  Margin=$263.72
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=135.91859  TP=136.12245  SL=135.79628 | Lot=0.01  Margin=$271.81
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.67290  TP=0.67189  SL=0.67351 | Lot=2.0  Margin=$269.19
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.36127  TP=1.36331  SL=1.36004 | Lot=0.99  Margin=$269.50
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.18267  TP=1.18090  SL=1.18374 | Lot=1.18  Margin=$279.14
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.05479  TP=1.05321  SL=1.05574 | Lot=1.32  Margin=$278.49
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.18391  TP=1.18214  SL=1.18498 | Lot=1.2  Margin=$284.17
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.05419  TP=1.05261  SL=1.05514 | Lot=1.35  Margin=$284.66
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=136.14561  TP=136.34981  SL=136.02309 | Lot=0.01  Margin=$272.26
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.19228  TP=1.19049  SL=1.19335 | Lot=1.16  Margin=$276.64
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.05780  TP=1.05622  SL=1.05876 | Lot=1.31  Margin=$277.17
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.37315  TP=1.37521  SL=1.37191 | Lot=0.99  Margin=$271.86
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66653  TP=0.66553  SL=0.66713 | Lot=2.05  Margin=$273.31
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.36835  TP=1.37040  SL=1.36712 | Lot=1.0  Margin=$273.64
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66787  TP=0.66687  SL=0.66847 | Lot=2.04  Margin=$272.52
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.37621  TP=1.37827  SL=1.37497 | Lot=1.01  Margin=$277.97
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66123  TP=0.66024  SL=0.66183 | Lot=2.11  Margin=$279.07
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.37218  TP=1.37424  SL=1.37094 | Lot=1.01  Margin=$277.15
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66514  TP=0.66415  SL=0.66574 | Lot=2.09  Margin=$278.06
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.22692  TP=1.22876  SL=1.22582 | Lot=1.13  Margin=$277.26
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.22882  TP=1.23067  SL=1.22772 | Lot=1.14  Margin=$280.14
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08332  TP=1.08494  SL=1.08234 | Lot=1.29  Margin=$279.47
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.22312  TP=1.22496  SL=1.22202 | Lot=1.12  Margin=$273.95
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.07599  TP=1.07760  SL=1.07502 | Lot=1.27  Margin=$273.27
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.22839  TP=1.23024  SL=1.22729 | Lot=1.14  Margin=$280.05
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.07978  TP=1.08140  SL=1.07881 | Lot=1.29  Margin=$278.55
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] SELL | Entry=130.82092  TP=130.62467  SL=130.93867 | Lot=0.01  Margin=$261.67
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.23362  TP=1.23547  SL=1.23251 | Lot=1.16  Margin=$286.17
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08410  TP=1.08572  SL=1.08312 | Lot=1.32  Margin=$286.17
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] SELL | Entry=132.70373  TP=132.50465  SL=132.82317 | Lot=0.01  Margin=$265.43
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.23152  TP=1.23337  SL=1.23041 | Lot=1.17  Margin=$288.15
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08406  TP=1.08568  SL=1.08308 | Lot=1.33  Margin=$288.33
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] SELL | Entry=132.63574  TP=132.43676  SL=132.75512 | Lot=0.01  Margin=$265.30
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.23878  TP=1.24064  SL=1.23767 | Lot=1.2  Margin=$297.28
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09057  TP=1.09220  SL=1.08959 | Lot=1.36  Margin=$296.61
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.23342  TP=1.23527  SL=1.23231 | Lot=1.22  Margin=$300.93
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08392  TP=1.08554  SL=1.08294 | Lot=1.39  Margin=$301.30
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.24172  TP=1.24359  SL=1.24061 | Lot=1.24  Margin=$307.92
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09017  TP=1.09180  SL=1.08919 | Lot=1.41  Margin=$307.40
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] SELL | Entry=131.70483  TP=131.50725  SL=131.82337 | Lot=0.01  Margin=$263.44
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09551  TP=1.09715  SL=1.09452 | Lot=1.43  Margin=$313.28
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] SELL | Entry=131.21788  TP=131.02103  SL=131.33598 | Lot=0.01  Margin=$262.46
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.24622  TP=1.24809  SL=1.24510 | Lot=1.25  Margin=$311.52
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09068  TP=1.09231  SL=1.08970 | Lot=1.43  Margin=$311.90
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.24381  TP=1.24568  SL=1.24270 | Lot=1.3  Margin=$323.36
