2026-03-20 17:02:49 | DEBUG    | data_fetcher | Cache SAVE — data/cache\37862d0dc587935a3ddfd620870ac816.pkl
2026-03-20 17:02:49 | INFO     | data_fetcher |   GBPUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:02:49 | INFO     | data_fetcher |   Fetching FX_DAILY USD/JPY  [compact] ...
2026-03-20 17:03:03 | DEBUG    | data_fetcher | Cache SAVE — data/cache\73d7abb94bb4ed0c4f114a8a1d3d87c5.pkl
2026-03-20 17:03:03 | INFO     | data_fetcher |   USDJPY: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:03:03 | INFO     | data_fetcher |   Fetching FX_DAILY AUD/USD  [compact] ...
2026-03-20 17:03:16 | DEBUG    | data_fetcher | Cache SAVE — data/cache\f72c32b5c20ea94749aa54589f5372ac.pkl
2026-03-20 17:03:16 | INFO     | data_fetcher |   AUDUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:03:16 | INFO     | data_fetcher |   Fetching FX_DAILY USD/CAD  [compact] ...
2026-03-20 17:03:30 | DEBUG    | data_fetcher | Cache SAVE — data/cache\2da003e47d7e0abcd157409a4ab8bf0f.pkl
2026-03-20 17:03:30 | INFO     | data_fetcher |   USDCAD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:04:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\1ecb8e506809a2559995cd2c63f8957a.pkl
2026-03-20 17:04:30 | INFO     | data_fetcher |   EURUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:04:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\37862d0dc587935a3ddfd620870ac816.pkl
2026-03-20 17:04:30 | INFO     | data_fetcher |   GBPUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:04:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\73d7abb94bb4ed0c4f114a8a1d3d87c5.pkl
2026-03-20 17:04:30 | INFO     | data_fetcher |   USDJPY: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:04:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\f72c32b5c20ea94749aa54589f5372ac.pkl
2026-03-20 17:04:30 | INFO     | data_fetcher |   AUDUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:04:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\2da003e47d7e0abcd157409a4ab8bf0f.pkl
2026-03-20 17:04:30 | INFO     | data_fetcher |   USDCAD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:05:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\1ecb8e506809a2559995cd2c63f8957a.pkl
2026-03-20 17:05:30 | INFO     | data_fetcher |   EURUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:05:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\37862d0dc587935a3ddfd620870ac816.pkl
2026-03-20 17:05:30 | INFO     | data_fetcher |   GBPUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:05:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\73d7abb94bb4ed0c4f114a8a1d3d87c5.pkl
2026-03-20 17:05:30 | INFO     | data_fetcher |   USDJPY: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:05:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\f72c32b5c20ea94749aa54589f5372ac.pkl
2026-03-20 17:05:30 | INFO     | data_fetcher |   AUDUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:05:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\2da003e47d7e0abcd157409a4ab8bf0f.pkl
2026-03-20 17:05:30 | INFO     | data_fetcher |   USDCAD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:06:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\1ecb8e506809a2559995cd2c63f8957a.pkl
2026-03-20 17:06:30 | INFO     | data_fetcher |   EURUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:06:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\37862d0dc587935a3ddfd620870ac816.pkl
2026-03-20 17:06:30 | INFO     | data_fetcher |   GBPUSD: 100 bars  [2025-10-31 → 2026-03-19]
2026-03-20 17:06:30 | DEBUG    | data_fetcher | Cache HIT  — data/cache\73d7abb94bb4ed0c4f114a8a1d3d87c5.pkl
2026-03-20 17:06:30 | INFO     | data_fetcher |   USDJPY: 100 bars  [2025-10-31 → 2026-03-19]
